name,source,gender,wikidata,type,Notes,,Put the correct value in the gender column. Optional: add the wikidata ID if you find one (see example). Write any comments in the Notes column.
אירוס,,N,,way,,,
איתיאל,,M,,way,,,
"איתמר בן אב""י",,M,,way,,,
איתן לבני,,M,,way,,,
אלבז נתן,,M,,way,,,
אלדד הדני,,M,,way,,,
אלול,,N,,way,,,
אלוף,,M,,way,,,
אלוף אלברט מנדלר,,M,,way,,,
אלוף בצלות,,N,,way,,,
אלוף קלמן מגן,,M,,way,,,
אלחריזי,,M,,way,,,
אלי כהן,,M,,way,,,
אליאשברג,,M,,way,,,
אליהו (קשאק) עמיקם,,M,,way,,,
אליהו בחור,,M,,way,,,
אליהו בית צורי,,M,,way,,,
אליהו ברלין,,M,,way,,,
אליהו גלעזר,,M,,way,,,
אליהו חכים,,M,,way,,,
אליהו מפרארה,,M,,way,,,
אליהו ספיר,,M,,way,,,
אליזבת ברגנר,,F,,way,,,
אליעז רפאל,,M,,way,,,
אליעזר בן הורקנוס,,M,,way,,,
אליעזר לבונה,,M,,way,,,
אליעזר קשאני,,M,,way,,,
אליעזר שטיינמן,,M,,way,,,
אליפלט,,M,,way,,,
אליקום,,M,,way,,,
אלישיב,,M,,way,,,
אלכסנדר אוריה בוסקוביץ',,M,,way,,,
אלכסנדר ארגוב,,M,,way,,,
אלכסנדר זייד,,M,,way,,,
אלכסנדר ינאי,,M,,way,,,
אלכסנדר פן,,M,,way,,,
אלמגור,,N,,way,,,
אלנבי,,M,,relation+way,,,
אלעזר בן יוסי,,M,,way,,,
אלעזר בן עזריה,,M,,way,,,
אלעזר החורני,,M,,way,,,
אלעזר רוקח,,M,,way,,,
אלפסי,,M,,way,,,
אלקלעי,,M,,way,,,
אלרואי,,M,,way,,,
אלשיך,,M,,way,,,
אלתרמן,,M,,way,,,
אמונים,,N,,way,,,
אמזלג,,M,,way,,,
אמיל זולא,,M,,relation+way,,,
אמיר גלבוע,,M,,way,,,
אמירים,,N,,way,,,
אמנון ותמר,,N,,way,,,
אמסטרדם,,N,,way,,,
אמץ,,N,,way,,,
אנגל,,M,,way,,,
אנדריוס,,M,,way,,,
אנדרסן,,M,,way,,,
אנכי,,M,,way,,,
אנטוקולסקי,,M,,way,,,
אנטיגונוס,,M,,way,,,
אני מאמין,,N,,way,,,
אנסקי,,M,,way,,,
אסא קדמוני,,M,,way,,,
אסירי ציון,,N,,way,,,
אסף הרופא,,M,,way,,,
אסתר המלכה,,F,,way,,,
"אפ""ק",,N,,way,,,
אפטר,,M,,way,,,
אפלטון,,M,,way,,,
אפק,,?,,way,,,
אפשטיין,,M,,way,,,
אפשטיין יעקב,,M,,way,,,
"אצ""ל",,N,,way,,,
אקסלרוד נתן,,M,,way,,,
ארבע ארצות,,N,,way,,,
ארדון מרדכי,,M,,way,,,
ארזי,,M,,way,,,
ארטר יצחק,,M,,way,,,
אריאל,,M,,way,,,
אריאל שרון,,M,,way,,,
אריה אלטמן,,M,,way,,,
אריה גלבלום,,M,,way,,,
אריה דה מודינה,,M,,way,,,
אריה דולצ'ין,,M,,way,,,
אריה דיסנצ'יק,,M,,way,,,
אריה לובה אליאב,,M,,way,,,
אריה סוסליק,,M,,way,,,
אריה עקיבא,,M,,way,,,
אריה פסטרנק,,M,,way,,,
אריה שרון,,M,,way,,,
אריסטו,,M,,way,,,
אריסטובולוס,,M,,way,,,
ארלוזורוב,,M,,way,,,
ארלינג'ר,,M,,way,,,
ארנון,,N,,relation,,,
ארתור רובינשטיין,,M,,way,,,
אשדוד,,N,,way,,,
אשקלון,,N,,way,,,
אשר ברש,,M,,way,,,
אשתורי הפרחי,,M,,way,,,
ב',,?,,way,,,
באכר,,M,,way,,,
באסולה,,M,,way,,,
באר טוביה,,N,,way,,,
באר יעקב,,M,,way,,,
באר שבע,,N,,way,,,
בארט,,M,,way,,,
בארי,,M,,way,,,
בבלי,,N,,way,,,
בדולח,,N,,way,,,
בובליק,,M,,way,,,
בוני העיר,,MU,,way,,,
בוסל,,M,,way,,,
בוסתנאי,,M,,way,,,
בועז,,M,,way,,,
בוקי בן יגלי,,M,,way,,,
בורוכוב,,M,,way,,,
בורמה,,N,,way,,,
בושם,,N,,way,,,
בזל,,N,,way,,,
בילינסון,,M,,way,,,
ביירון,,M,,relation,,,
בילויה מעוז,,F,,way,,,
בילטמור,,N,,way,,,
ביצרון,,N,,way,,,
ביריה,,N,,way,,,
בירנבוים,,M,,way,,,
בירנית,,N,,way,,,
בית אורן,,N,,way,,,
בית אל,,N,,way,,,
בית אלפא,,N,,way,,,
בית אשל,,N,,way,,,
בית גוברין,,N,,way,,,
בית הבד,,N,,way,,,
בית הלל,,M,,way,,,
בית הקציר,,N,,way,,,
בית חדש,,N,,way,,,
בית חורון,,N,,way,,,
בית יוסף,,M,,way,,,
בית יצקר,,N,,way,,,
בית ירח,,N,,way,,,
בית לחם,,N,,way,,,
בית עובד,,N,,way,,,
בית פלט,,N,,way,,,
בית קשת,,N,,way,,,
בית רעים,,N,,way,,,
בית שמאי,,M,,way,,,
ביתוס,,M,,way,,,
בכורי ציון,,N,,way,,,
בלבן,,M,,way,,,
בלום ליאון,,M,,way,,,
בלפור,,M,,way,,,
בלקינד,,M,,way,,,
בלשן,,,,way,,,
בן אביגדור,,M,,way,,,
בן אחיטוב,,M,,way,,,
בן אשר,,M,,way,,,
בן גמליאל,,M,,way,,,
בן דוסא,,M,,way,,,
בן הלל,,M,,way,,,
בן זבארה,,M,,way,,,
בן זומא,,M,,way,,,
בן זכאי,,M,,way,,,
בן חסד,,M,,way,,,
בן ישי,,M,,way,,,
בן סירא,,M,,way,,,
בן סירה יעקב,,M,,way,,,
בן סרוק,,M,,way,,,
בן עזאי,,M,,way,,,
בן עמי,,M,,way,,,
בן פרחיה,,M,,way,,,
בן צבי,,M,,way,,,
בן צדוק אלעזר,,M,,way,,,
בן שמן,,M,,way,,,
בן שפרוט,,M,,way,,,
בנבנישתי,,M,,way,,,
בני אפרים,,,,way,,,
בני ברק,,,,way,,,
בני בתירא,,,,way,,,
בני דן,,,,way,,,
בני משה,,,,way,,,
בניהו,,,,way,,,
בנימין ברגי,,M,,way,,,
בנימין מטודלה,,M,,way,,,
בנימיני,,,,way,,,
בעל הטורים,,,,way,,,
בעל העקדה,,,,way,,,
בעלי התוספות,,,,way,,,
בצלאל,,M,,way,,,
בצלאל יפה,,M,,way,,,
בצלאל לונדון,,,,way,,,
בצרה,,,,way,,,
בר אילן,,M,,way,,,
בר גיורא,,M,,way,,,
בר הופמן,,M,,way,,,
בר יוחאי,,M,,way,,,
בר כוכבא,,M,,way,,,
בראלי,,,,way,,,
ברגסון,,,,way,,,
ברדיצ'בסקי,,,,way,,,
ברודצקי,,,,way,,,
ברוך קרוא,,M,,way,,,
ברוריה,,,,way,,,
ברזיל,,,,way,,,
ברזילי,,,,way,,,
ברטונוב,,,,way,,,
בריינין,,,,way,,,
ברכיה,,,,way,,,
ברכיהו הנקדן,,M,,way,,,
ברלינר,,,,way,,,
ברנדייס,,,,way,,,
ברנט,,,,way,,,
ברנר,,,,way,,,
ברנשטיין כהן,,,,way,,,
ברק,,,,way,,,
ברקוביץ,,,,way,,,
ברתיני גארי,,,,way,,,
בת גלים,,N,,way,,,
בת חן,,N,,way,,,
בת ים,,N,,way,,,
בת יפתח,,,,way,,,
בת עין,,N,,way,,,
בת עמי,,N,,way,,,
בת ציון,,,,way,,,
בת שבע דה רוטשילד,,F,,way,,,
בת שבע כצנלסון,,F,,way,,,
בתיה (לישנסקי),,F,,way,,,
ג'ורג' אליוט,,M,,way,,,
גאולה,,,,way,,,
גבולות,,N,,way,,,
גבירטיג מרדכי,,M,,way,,,
גבעולים,,,,way,,,
גבעון,,,,way,,,
גבעת בן יהודה,,M,,way,,,
גבעת המורה,,,,way,,,
גבעת התחמושת,,,,way,,,
גבעת כח,,,,way,,,
גבעתי,,,,way,,,
גדיש,,,,way,,,
גדליה,,,,way,,,
"גדנ""ע",,,,way,,,
גדעון,,,,way,,,
גדרה,,,,way,,,
גואל,,,,way,,,
גוז'יקוב,,,,way,,,
גוטליב,,M,,way,,,
גולד,,,,way,,,
גולדברג,,,,way,,,
גולדפאדן,,,,way,,,
גולומב,,,,way,,,
גולומוב,,,,way,,,
גולי אריתריאה,,,,way,,,
גולי קניה,,,,way,,,
גונן,,,,way,,,
גופר,,,,way,,,
גורית קדמן,,F,,way,,,
גורקי,,,,way,,,
גוש חלב,,N,,way,,,
גוש עציון,,N,,way,,,
גז מטילדה,,F,,way,,,
גזית,,N,,way,,,
גזר,,N,,way,,,
גייגר,,N,,way,,,
גינוסר,,N,,way,,,
גינת שלמה,,M,,way,,,
גיתית,,,,way,,,
גלוסקא,,,,way,,,
גלוסקין,,,,way,,,
גליצנשטיין,,,,way,,,
גליקסון,,,,way,,,
גלעינית,,,,way,,,
גן הפסלים,,N,,way,,,
גן לונדון,,,,way,,,
גן מאיר,,M,,way,,,
גן פולק,,M,,way,,,
גנסין,,,,way,,,
געש,,N,,way,,,
גר צדק,,,,way,,,
גרוזנברג,,,,way,,,
גרונימן,,,,way,,,
גרטרוד קראוס,,F,,way,,,
גריזים,,,,way,,,
גרינבוים,,,,way,,,
גרץ,,,,way,,,
"גרשון ש""ץ",,M,,way,,,
"גשר ""הקריה""",,N,,way,,,
גשר אינשטיין,,M,,way,,,
גשר בר יהודה,,M,,way,,,
גשר היהלומים,,N,,way,,,
גשר המכביה ה-15,,N,,way,,,
גשר המכנסיים,,N,,way,,,
גשר המשאלות,,N,,way,,,
גשר השלושה,,,,way,,,
גשר התערוכה,,N,,way,,,
גשר חלון ליפו,,N,,way,,,
גשר נחושתן,,N,,way,,,
"גשר ע""ש יצחק מודעי",,M,,way,,,
גשר עמק ברכה,,N,,way,,,
גשר ראש ציפור,,N,,way,,,
גשר תאו ומרגוט לובנגרט,,,,way,,,
גשרון גהה מערב,,N,,way,,,
גת רימון,,N,,way,,,
"ד""ר אלי תבין",,M,,way,,,
"ד""ר אריה (ליאון) פוחובסקי",,M,,way,,,
"ד""ר ארליך",,M,,way,,,
"ד""ר בודנהיימר",,M,,way,,,
"ד""ר ג'ורג וייז",,M,,way,,,
"ד""ר ולבה יואל",,M,,way,,,
"ד""ר ולטר מוזס",,M,,way,,,
"ד""ר חיים ברודי",,M,,way,,,
"ד""ר חיים מנחם בסוק",,M,,way,,,
"ד""ר יוסף פומרוק",,M,,way,,,
"ד""ר כרמי יוגב",,M,,way,,,
"ד""ר קורין עזרא",,,,way,,,
"ד""ר שלום לוין",,M,,way,,,
ד',,,,way,,,
דאנטה,,M,,way,,,
דב גרונר,,M,,way,,,
דב האוזנר,,M,,way,,,
דב הוז,,M,,relation,,,
דב כרמי,,M,,way,,,
דב ממזריץ,,M,,way,,,
דבורה הנביאה,,F,,way,,,
דבלין אלפרד,,M,,way,,,
דגן,,N,,way,,,
דגניה,,N,,way,,,
דה האז,,,,way,,,
דה פיג'טו,,,,way,,,
דה פיליפ אדיס (אבן זהר),,M,,way,,,
דובנוב,,,,way,,,
דוד אבידן,,M,,way,,,
דוד אויסטרך,,M,,way,,,
דוד אלמוג,,M,,way,,,
דוד בוקשפן,,M,,way,,,
דוד בלוך,,M,,way,,,
דוד זליבנסקי,,M,,way,,,
דוד חופשי,,M,,way,,,
דוד חכמי,,M,,way,,,
דוד טריטש,,M,,way,,,
דוד ילין,,M,,way,,,
דוד מרכוס,,M,,way,,,
דוד רוטלוי,,M,,way,,,
דוד רמז,,M,,way,,,
דוד תדהר,,M,,way,,,
דודאים,,N,,way,,,
דוחן,,,,way,,,
דוידקה,,,,way,,,
דוליצקי,,,,way,,,
דונולו הרופא,,M,,way,,,
דורון,,,,way,,,
דוש (קריאל גרדוש),,,,way,,,
די רוסי,,,,way,,,
דימונה,,,,way,,,
דימיטר פשב,,M,,way,,,
דיצה,,F,,way,,,
דיק,,,,way,,,
דישון,,,,way,,,
דם המכבים,,,,way,,,
דן לנר,,M,,way,,,
דניאל,,M,,way,,,
דניאל סמבורסקי,,M,,way,,,
דניאל פריש,,M,,way,,,
דנין,,,,way,,,
דעואל,,,,way,,,
דפנה,,F,,way,,,
דקל,,N,,way,,,
דרויאנוב,,,,way,,,
דרור,,N,,way,,,
דרייפוס,,M,,way,,,
דרך אריאל שרון,,M,,way,,,
דרך ההגנה,,N,,way,,,
דרך הפארק,,N,,way,,,
דרך לוד,,N,,way,,,
דרך שלמה,,M,,way,,,
דרך תל-אביב,,,,way,,,
דשבסקי,,,,way,,,
ה' באייר,,,,way,,,
האגוז,,N,,way,,,
האגמון,,,,way,,,
האומנים,,N,,way,,,
האחים אל-כוויתי,,M,,way,,,
האחים בילסקי,,M,,way,,,
האחים מסלאויטה,,M,,way,,,
האלוף עוזי נרקיס,,M,,way,,,
האלקושי,,,,way,,,
האמוראים,,,,way,,,
האסיף,,N,,way,,,
האספרגוס,,N,,way,,,
האקליפטוס,,N,,way,,,
"האר""י",,,,way,,,
הארבעה,,,,way,,,
הארד,,N,,way,,,
הארון אל רשיד,,M,,way,,,
האשכולית,,N,,way,,,
האתרוג,,N,,way,,,
הברון הירש,,M,,way,,,
הברוש,,N,,way,,,
הברזל,,N,,way,,,
הבשן,,N,,way,,,
הגבורה,n,N,,way,,,
הגדוד העברי,,,,way,,,
הגולן,,N,,way,,,
הגיבור האלמוני,,N,,way,,,
הגיבורים,,N,,way,,,
הגיחון,,N,,way,,,
הגלבוע,,N,,way,,,
הגליל,,N,,way,,,
הגלעד,,N,,way,,,
הגמנסיה העברית,,N,,way,,,
הגפן,,N,,way,,,
"הגר""א",,,,way,,,
הדגה,,,,way,,,
הדגל,,N,,way,,,
הדואר,,N,,way,,,
הדולפין,,N,,way,,,
הדייגים,,N,,way,,,
הדמומית,,N,,way,,,
הדסה,,,,way,,,
הדף היומי,,,,way,,,
הדר יוסף,,,,way,,,
ההגנה,,,,way,,,
ההדס,,N,,way,,,
הוברמן,,,,way,,,
הודיה,,,,way,,,
הונא,,,,way,,,
הופיין,,,,way,,,
הורודצקי,,,,way,,,
הושע,,,,way,,,
הותיקים,,N,,way,,,
הזוהר,,,,way,,,
הזית,,N,,way,,,
הזמיר,,N,,way,,,
הזרם,,N,,way,,,
החבצלת,,N,,way,,,
החותרים,,N,,way,,,
החטה,,,,way,,,
החיזיון,,N,,way,,,
החלוצים,,,,way,,,
החלפנים,,,,way,,,
החצב,,N,,way,,,
החצוצרה,,N,,way,,,
החרוב,,N,,way,,,
החרוץ,,,,way,,,
החרמון,,N,,way,,,
החרמש,,N,,way,,,
החרצית,,N,,way,,,
החרש,,N,,way,,,
החשמל,,N,,way,,,
"הט""ז",,,,way,,,
"הטיילת ע""ש שלמה להט",,M,,way,,,
הטיילת ע״ש שלמה להט,,M,,way,,,
הטייסים,,,,way,,,
הידיד,,,,way,,,
היהודי זיס,,M,,way,,,
היימן,,,,way,,,
היינריך מנדלסון,,M,,way,,,
היכל התלמוד,,N,,way,,,
הילדסהיימר,,,,way,,,
היסוד,,N,,way,,,
היסמין,,N,,way,,,
הירדן,,N,,way,,,
הירקון,,N,,relation+way,,,
הירשביין,,,,way,,,
הירשנברג,,,,way,,,
היתד,,N,,way,,,
הכובשים,,N,,way,,,
הכוזרי,,,,way,,,
הכינור,,N,,way,,,
הכישור,,N,,way,,,
הכלנית,,N,,way,,,
הכנסת הגדולה,,N,,way,,,
הכרם,,N,,relation,,,
הכרמל,,N,,way,,,
"הל""ה",,,,way,,,
הלוחמים,,,,way,,,
הלוטוס,,N,,way,,,
הלימון,,N,,way,,,
הלל הזקן,,M,,way,,,
הלל עמר,,M,,way,,,
הלסינקי,,,,way,,,
הלענה,,N,,way,,,
הלפיד,,N,,way,,,
הלפרין,,,,way,,,
המאבק,,N,,way,,,
המבצעים,,N,,way,,,
המגדלור,,N,,way,,,
המגיד,,M,,way,,,
המגיד מדובנא,,M,,way,,,
המגן,,N,,way,,,
המחוגה,,N,,way,,,
המכבי,,,,way,,,
המכבש,,N,,way,,,
המלאכה,,N,,way,,,
המלחים,,N,,way,,,
המליץ,,,,way,,,
המלך אלברט,,M,,way,,,
המלך חירם,,M,,way,,,
המנוע,,N,,way,,,
המנור,,N,,way,,,
המעיין,,N,,way,,,
המעפילים,,N,,way,,,
המערכה,,N,,way,,,
המפרש,,,,way,,,
המצביאים,,,,way,,,
המצפן,,N,,way,,,
המקצוע,,N,,way,,,
המרגנית,,N,,way,,,
המרד,,N,,way,,,
המרפא,,,,way,,,
המשביר,,N,,way,,,
המשור,,,,way,,,
המשלטים,,N,,way,,,
המשמר האזרחי,,N,,way,,,
המשנה,,N,,way,,,
המתנדב,,N,,way,,,
הנגב,,N,,way,,,
הנגרים,,N,,way,,,
הנדיב,,N,,way,,,
הנוטר,,N,,way,,,
הנחושת,,N,,way,,,
הניה פקלמן,,,,way,,,
הניצנים,,N,,way,,,
הנציב,,,,way,,,
הנרייטה סולד,,F,,way,,,
הנשיאים,,,,way,,,
הסבא משפולה,,M,,way,,,
הסבוראים,,,,way,,,
הסדנה,,N,,way,,,
הסוללים,,N,,way,,,
הסנה,,N,,way,,,
הספינה,,N,,way,,,
העבודה,,N,,way,,,
העוגב,,N,,way,,,
העוגן,,N,,way,,,
העלייה,,N,,way,,,
העמל,,N,,way,,,
הערמון,,N,,way,,,
העתק פסיפס בית אלפא,,N,,way,,,
הפורצים,,N,,way,,,
הפטיש,,N,,way,,,
הפטמן,,,,way,,,
הפלך,,N,,way,,,
"הפלמ""ח",,,,way,,,
הפנינים,,N,,way,,,
הפרגים,,N,,way,,,
הפרדס,,N,,way,,,
הפרטיזן היהודי,,N,,way,,,
הפרסה,,N,,way,,,
הצבי,,N,,way,,,
הצבר,,N,,way,,,
הצדף,,N,,way,,,
הצורפים,,N,,way,,,
הציפורן,,N,,way,,,
הצלף,,N,,way,,,
הצנחנים,,,,way,,,
הצפון החדש - החלק הדרומי,,N,,relation,,,
הצפון החדש - החלק הצפוני,,N,,relation,,,
הצפון החדש - סביבת ככר המדינה,,N,,relation,,,
הצפירה,,N,,way,,,
הצרי,,,,way,,,
הקברניט,,,,way,,,
הקונגרס,,N,,way,,,
הקיקיון,,N,,way,,,
הקישון,,N,,way,,,
הקליר,,,,way,,,
הקלעים,,,,way,,,
הקנאים,,,,way,,,
הקרן,,N,,way,,,
הקשת,,N,,way,,,
הר נבו,,N,,way,,,
הר סיני,,N,,way,,,
הר ציון,,,,way,,,
"הרא""ש",,,,way,,,
"הראב""ע",,,,way,,,
הראובני דוד,,M,,way,,,
הראל,,M,,way,,,
הרב אהרונסון,,M,,way,,,
הרב אליהו שרים,,M,,way,,,
הרב אלנקוה,,M,,way,,,
הרב גליקסברג,,M,,way,,,
הרב הלר חיים,,M,,way,,,
הרב הרצוג,,M,,way,,,
הרב יוסף צוברי,,M,,way,,,
הרב יעקב טראב,,M,,way,,,
הרב יצחק ידידיה פרנקל,,M,,way,,,
הרב יצחק רובינשטיין,,M,,way,,,
הרב יצחק רילף,,M,,way,,,
הרב לוי יצחק,,M,,way,,,
הרב מבכרך,,M,,way,,,
הרב מויטבסק,,M,,way,,,
הרב מלילוב,,M,,way,,,
הרב מקוטוב,,M,,way,,,
הרב מקוצק,,M,,way,,,
הרב מקרלין,,M,,way,,,
הרב מרק,,M,,way,,,
הרב ניסים,,M,,way,,,
הרב עובדיה בידאני,,M,,way,,,
הרב עוזיאל,,M,,way,,,
הרב עמיאל,,M,,way,,,
הרב פרידמן,,M,,way,,,
הרב צירלסון,,M,,way,,,
הרב קוק,,M,,way,,,
הרב שלמה גורן,,M,,way,,,
הרבי מבכרך,,M,,way,,,
הרבי מפשיסחא,,M,,way,,,
הרבסט קרול,,M,,way,,,
הרברט סמואל,,M,,relation+way,,,
הרדוף,,N,,way,,,
"הרה""ג יחיא מחבוב",,M,,way,,,
הרוגי מלכות,,,,way,,,
הרודיון,,,,way,,,
הרותם,,N,,way,,,
הרטגלס,,,,way,,,
הרטוב,,,,way,,,
הרימון,,N,,way,,,
הרכב,,N,,way,,,
הרכבי,,,,way,,,
הרכבת,,N,,way,,,
הרכש,,,,way,,,
הרמן כהן,,M,,way,,,
הרן,,,,way,,,
"הרנ""ה",,,,way,,,
הרצל,,M,,way,,,
הרצל רוזנבלום,,M,,way,,,
הרצפלד,,,,way,,,
הרקפת,,N,,way,,,
הררי,,,,way,,,
"הש""ך",,,,way,,,
השומר,,N,,way,,,
השומרון,,N,,way,,,
השופט חיים כהן,,M,,way,,,
השופט נופך,,M,,way,,,
