name,source,gender,wikidata,type
הדמומית,csv,-,,way
ההדס,csv,-,,way
הותיקים,csv,-,,way
הזית,csv,-,,way
הזמיר,csv,-,,way
הזרם,csv,-,,way
החבצלת,csv,-,,way
החותרים,csv,-,,way
החיזיון,csv,-,,way
החצב,csv,-,,way
החצוצרה,csv,-,,way
החרוב,csv,-,,way
החרמון,csv,-,,way
החרמש,csv,-,,way
החרצית,csv,-,,way
החרש,csv,-,,way
החשמל,csv,-,,way
"היכל התלמוד",csv,-,,way
היסוד,csv,-,,way
היסמין,csv,-,,way
הירדן,csv,-,,way
הירקון,csv,-,,relation+way
היתד,csv,-,,way
הכובשים,csv,-,,way
הכינור,csv,-,,way
הכישור,csv,-,,way
הכלנית,csv,-,,way
"הכנסת הגדולה",csv,-,,way
הכרם,csv,-,,relation
הכרמל,csv,-,,way
הלוטוס,csv,-,,way
הלימון,csv,-,,way
הלענה,csv,-,,way
הלפיד,csv,-,,way
המאבק,csv,-,,way
המבצעים,csv,-,,way
המגדלור,csv,-,,way
המגן,csv,-,,way
המחוגה,csv,-,,way
המכבש,csv,-,,way
המלאכה,csv,-,,way
המלחים,csv,-,,way
המנוע,csv,-,,way
המנור,csv,-,,way
המעיין,csv,-,,way
המעפילים,csv,-,,way
המערכה,csv,-,,way
המצפן,csv,-,,way
המקצוע,csv,-,,way
המרגנית,csv,-,,way
המרד,csv,-,,way
המשביר,csv,-,,way
המשלטים,csv,-,,way
"המשמר האזרחי",csv,-,,way
המשנה,csv,-,,way
המתנדב,csv,-,,way
הנגב,csv,-,,way
הנגרים,csv,-,,way
הנדיב,csv,-,,way
הנוטר,csv,-,,way
הנחושת,csv,-,,way
הניצנים,csv,-,,way
הסדנה,csv,-,,way
הסוללים,csv,-,,way
הסנה,csv,-,,way
הספינה,csv,-,,way
העבודה,csv,-,,way
העוגב,csv,-,,way
העוגן,csv,-,,way
העלייה,csv,-,,way
העמל,csv,-,,way
הערמון,csv,-,,way
"העתק פסיפס בית אלפא",csv,-,,way
הפורצים,csv,-,,way
הפטיש,csv,-,,way
הפלך,csv,-,,way
הפנינים,csv,-,,way
הפרגים,csv,-,,way
הפרדס,csv,-,,way
"הפרטיזן היהודי",csv,-,,way
הפרסה,csv,-,,way
הצבי,csv,-,,way
הצבר,csv,-,,way
הצדף,csv,-,,way
הצורפים,csv,-,,way
הציפורן,csv,-,,way
הצלף,csv,-,,way
"הצפון החדש - החלק הדרומי",csv,-,,relation
"הצפון החדש - החלק הצפוני",csv,-,,relation
"הצפון החדש - סביבת ככר המדינה",csv,-,,relation
הצפירה,csv,-,,way
הקונגרס,csv,-,,way
הקיקיון,csv,-,,way
הקישון,csv,-,,way
הקרן,csv,-,,way
הקשת,csv,-,,way
"הר נבו",csv,-,,way
"הר סיני",csv,-,,way
הרדוף,csv,-,,way
הרותם,csv,-,,way
הרימון,csv,-,,way
הרכב,csv,-,,way
הרכבת,csv,-,,way
הרקפת,csv,-,,way
השומר,csv,-,,way
השומרון,csv,-,,way
השופר,csv,-,,way
השוק,csv,-,,way
השחף,csv,-,,way
השחקנים,csv,-,,way
השחר,csv,-,,way
השיבולת,csv,-,,way
השיטה,csv,-,,way
השיירות,csv,-,,way
השילוח,csv,-,,way
השכל,csv,-,,way
השלום,csv,-,,way
השעורה,csv,-,,way
השפלה,csv,-,,way
השקמה,csv,-,,way
השרביט,csv,-,,way
השרון,csv,-,,way
התאנה,csv,-,,way
התבור,csv,-,,way
התורן,csv,-,,way
התחיה,csv,-,,way
התמר,csv,-,,way
התנופה,csv,-,,way
התערוכה,csv,-,,way
התעשיה,csv,-,,way
התקוה,csv,-,,way
התקומה,csv,-,,way
זיקים,csv,-,,way
זרעים,csv,-,,way
"חברה חדשה",csv,-,,way
חברון,csv,-,,way
"חומה ומגדל",csv,-,,way
"חיי אדם",csv,-,,way
"חיל השריון",csv,-,,way
חלמית,csv,-,,way
חצור,csv,-,,way
חצרים,csv,-,,way
טבריה,csv,-,,way
טבת,csv,-,,way
"טורי זהב",csv,-,,way
"טיילת איילון",csv,-,,way
"טיילת המדע",csv,-,,way
"טיילת השער ליפו",csv,-,,way
יבנה,csv,-,,way
יגור,csv,-,,way
"יגיע כפיים",csv,-,,way
"יד המעביר",csv,-,,way
"יד חרוצים",csv,-,,way
יודפת,csv,-,,way
יורה,csv,-,,way
"ילקוט הרועים",csv,-,,way
"ים סוף",csv,-,,way
ימין,csv,-,,way
"יסוד המעלה",csv,-,,way
יסעור,csv,-,,way
יעל,csv,-,,way
יפעת,csv,-,,way
"יציאת אירופה",csv,-,,way
יקנטון,csv,-,,way
יריחו,csv,-,,way
"כביש גהה",csv,-,,way
"כביש ירושלים תל אביב",csv,-,,way
"כביש תל אביב ירושלים",csv,-,,way
"כביש תל-אביב נתניה",csv,-,,way
"כיכר אתרים",csv,-,,relation
"כיכר הדמוקרטיה",csv,-,,way
"כיכר הכנסת",csv,-,,relation
"כיכר המושבה",csv,-,,relation
"כיכר השואה והתקומה",csv,-,,way
"כיכר השעות היפות",csv,-,,way
"כיכר מגן דוד",csv,-,,way
"כיכר מוזיאון תל אביב",csv,-,,relation
"כיכר קדומים",csv,-,,way
"כיכר קצה השדרה",csv,-,,way
כינרת,csv,-,,way
כיסופים,csv,-,,way
"כל ישראל חברים",csv,-,,way
"כנפי נשרים",csv,-,,way
כסלו,csv,-,,way
כרמלית,csv,-,,way
