name,source,gender,wikidata,type
אלנבי,,,,relation+way
"אלעזר בן יוסי",,,,way
"אלעזר בן עזריה",,,,way
"אלעזר החורני",,,,way
"אלעזר רוקח",,,,way
אלפסי,,,,way
אלקלעי,,,,way
אלרואי,,,,way
אלשיך,,,,way
אלתרמן,,,,way
אמונים,,,,way
אמזלג,,,,way
"אמיל זולא",,,,relation+way
"אמיר גלבוע",,,,way
אמירים,,,,way
"אמנון ותמר",,,,way
אמסטרדם,,,,way
אמץ,,,,way
אנגל,,,,way
אנדריוס,,,,way
אנדרסן,,,,way
אנוכי,,,,way
אנטוקולסקי,,,,way
אנטיגונוס,,,,way
"אני מאמין",,,,way
אנסקי,,,,way
"אסא קדמוני",,,,way
"אסירי ציון",,,,way
"אסף הרופא",,,,way
"אסתר המלכה",,,,way
"אפ""ק",,,,way
אפטר,,,,way
אפלטון,,,,way
אפק,,,,way
אפשטיין,,,,way
"אפשטיין יעקב",,,,way
"אצ""ל",,,,way
"אקסלרוד נתן",,,,way
"ארבע ארצות",,,,way
"ארדון מרדכי",,,,way
ארזי,,,,way
"ארטר יצחק",,,,way
אריאל,,,,way
"אריאל שרון",,,,way
"אריה אלטמן",,,,way
"אריה גלבלום",,,,way
"אריה דה מודינה",,,,way
"אריה דולצ'ין",,,,way
"אריה דיסנצ'יק",,,,way
"אריה לובה אליאב",,,,way
"אריה סוסליק",,,,way
"אריה עקיבא",,,,way
"אריה פסטרנק",,,,way
"אריה שרון",,,,way
אריסטו,,,,way
אריסטובולוס,,,,way
ארלוזורוב,,,,way
ארלינג'ר,,,,way
ארנון,,,,relation
"ארתור רובינשטיין",,,,way
אשדוד,,,,way
אשקלון,,,,way
"אשר ברש",,,,way
"אשתורי הפרחי",,,,way
ב',,,,way
באכר,,,,way
באסולה,,,,way
"באר טוביה",,,,way
"באר יעקב",,,,way
"באר שבע",,,,way
בארט,,,,way
בארי,,,,way
בבלי,,,,way
בדולח,,,,way
בובליק,,,,way
"בוני העיר",,,,way
בוסל,,,,way
בוסתנאי,,,,way
בועז,,,,way
"בוקי בן יגלי",,,,way
בורוכוב,,,,way
בורמה,,,,way
בושם,,,,way
בזל,,,,way
ביילינסון,,,,way
ביירון,,,,relation
